Workflow name,wfa3883bbb-b374-4cce-959f-bc6110a5db77,,,,,,,,,,,,,
Shipment ID,FBA174ZBGX8Y,,,,,,,,,,,,,
Shipment name,日本 专线 20230325 内胆包120件,,,,,,,,,,,,,
Ship to,"多治市, 岐阜h",,,,,,,,,,,,,
Boxes,6,,,,,,,,,,,,,
SKUs,1,,,,,,,,,,,,,
Units,120,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Individual units (2 boxes),,,,,,,,,,,,,,
SKU,Title,ASIN,FNSKU,Condition,Who preps units?,Who labels units?,Prep type,Total units,Box 1 units,Box 2 units,Box 1 units,Box 2 units,Box 1 units,Box 2 units
CXSJzwjB052801,Allinside13-13.3インチ スリ`ブケ`ス ノ`トパソコンケ`ス MacBook Air 13.3 A1369 A1466/ MacBook Pro 13.3 A1425 A1502/ MacBook Pro 13 CD-ROM A1278 合成革 薄型 PCインナ`バッグ ピンク,B095H17KCL,X000XW2D0Z,New,By seller,By seller,"Apparel, fabric, plush, and textiles",60,30,60,30,60,30,60
,,,,,,,,,,,,,,
,,,,,,,,Box ID,FBA174ZBGX8YU000003,FBA174ZBGX8YU000003,FBA174ZBGX8YU000005,FBA174ZBGX8YU000006,FBA174ZBGX8YU000007,FBA174ZBGX8YU000008
,,,,,,,,Box name,P1 - B2,P1 - B1,P1 - B2,P1 - B1,P1 - B2,P1 - B1
,,,,,,,,Box weight (kg):,12,12,12,12,12,12
,,,,,,,,Box length (cm):,41,41,41,41,41,41
,,,,,,,,Box width (cm):,30,30,30,30,30,30
,,,,,,,,Box height (cm):,51,51,51,51,51,51
